riskFrequency,pvalueDescription,pvalueMantissa,pvalueExponent,multiSnpHaplotype,snpInteraction,snpType,standardError,range,description,orPerCopyNum,betaNum,betaUnit,betaDirection,loci,lastMappingDate,lastUpdateDate,pvalue,associationId,haplotypeSnpCount,description,strongestRiskAlleles,authorReportedGenes,riskAlleleName,riskFrequency,genomeWide,limitedList
0.73,"(conditioned on rs30187 & rs2910686, EA)",6,-14,False,False,novel,,,,1.2,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10045403-A', 'riskFrequency': '0.73', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ERAP2', 'entrezGeneIds': [{'entrezGeneId': '64167'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164308'}]}, {'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}, {'geneName': 'LNPEP', 'entrezGeneIds': [{'entrezGeneId': '4012'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113441'}]}]}",2024-02-17T08:42:50.000+0000,2024-02-17T08:42:50.000+0000,6e-14,24913868,,Single variant,"[{'riskAlleleName': 'rs10045403-A', 'riskFrequency': '0.73', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ERAP2', 'entrezGeneIds': [{'entrezGeneId': '64167'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164308'}]}, {'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}, {'geneName': 'LNPEP', 'entrezGeneIds': [{'entrezGeneId': '4012'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113441'}]}]",rs10045403-A,0.73,False,False
0.222,"(conditioned on rs4851529, EA)",4,-6,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2192752-C', 'riskFrequency': '0.222', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL1R2', 'entrezGeneIds': [{'entrezGeneId': '7850'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115590'}]}, {'geneName': 'IL1R1', 'entrezGeneIds': [{'entrezGeneId': '3554'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115594'}]}]}",2024-02-17T08:42:47.000+0000,2024-02-17T08:42:47.000+0000,4e-06,24913862,,Single variant,"[{'riskAlleleName': 'rs2192752-C', 'riskFrequency': '0.222', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL1R2', 'entrezGeneIds': [{'entrezGeneId': '7850'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115590'}]}, {'geneName': 'IL1R1', 'entrezGeneIds': [{'entrezGeneId': '3554'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115594'}]}]",rs2192752-C,0.222,False,False
0.734,,7,-17,False,False,known,,,,1.18,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2836883-G', 'riskFrequency': '0.734', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'Intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T09:49:36.000+0000,2024-02-17T09:49:36.000+0000,7e-17,24671878,,Single variant,"[{'riskAlleleName': 'rs2836883-G', 'riskFrequency': '0.734', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'Intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs2836883-G,0.734,False,False
0.592,,3,-13,False,False,novel,,,,1.14,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4129267-C', 'riskFrequency': '0.592', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL6R', 'entrezGeneIds': [{'entrezGeneId': '3570'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000160712'}]}]}",2024-02-17T09:49:39.000+0000,2024-02-17T09:49:39.000+0000,3.0000000000000003e-13,24671884,,Single variant,"[{'riskAlleleName': 'rs4129267-C', 'riskFrequency': '0.592', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL6R', 'entrezGeneIds': [{'entrezGeneId': '3570'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000160712'}]}]",rs4129267-C,0.592,False,False
0.393,,3,-9,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'imm_16_28525386-A', 'riskFrequency': '0.393', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL27', 'entrezGeneIds': [{'entrezGeneId': '246778'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000197272'}]}, {'geneName': 'SULT1A1', 'entrezGeneIds': [{'entrezGeneId': '6817'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000196502'}]}]}",2024-02-17T09:50:05.000+0000,2024-02-17T09:50:05.000+0000,3.0000000000000004e-09,24671941,,Single variant,"[{'riskAlleleName': 'imm_16_28525386-A', 'riskFrequency': '0.393', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL27', 'entrezGeneIds': [{'entrezGeneId': '246778'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000197272'}]}, {'geneName': 'SULT1A1', 'entrezGeneIds': [{'entrezGeneId': '6817'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000196502'}]}]",imm_16_28525386-A,0.393,False,False
0.476,,1,-9,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1801274-T', 'riskFrequency': '0.476', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'FCGR2A', 'entrezGeneIds': [{'entrezGeneId': '2212'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000143226'}]}]}",2024-05-23T21:29:07.000+0000,2024-05-23T21:29:07.000+0000,1e-09,24671890,,Single variant,"[{'riskAlleleName': 'rs1801274-T', 'riskFrequency': '0.476', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'FCGR2A', 'entrezGeneIds': [{'entrezGeneId': '2212'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000143226'}]}]",rs1801274-T,0.476,False,False
0.421,,1,-9,False,False,novel,,,,1.12,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12615545-C', 'riskFrequency': '0.421', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'UBE2E3', 'entrezGeneIds': [{'entrezGeneId': '10477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000170035'}]}]}",2024-02-17T09:49:46.000+0000,2024-02-17T09:49:46.000+0000,1e-09,24671897,,Single variant,"[{'riskAlleleName': 'rs12615545-C', 'riskFrequency': '0.421', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'UBE2E3', 'entrezGeneIds': [{'entrezGeneId': '10477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000170035'}]}]",rs12615545-C,0.421,False,False
0.209,,1,-8,False,False,novel,,,,1.13,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4676410-T', 'riskFrequency': '0.209', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]}",2024-02-17T09:49:50.000+0000,2024-02-17T09:49:50.000+0000,1e-08,24671903,,Single variant,"[{'riskAlleleName': 'rs4676410-T', 'riskFrequency': '0.209', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]",rs4676410-T,0.209,False,False
0.118,,5,-8,False,False,novel,,,,1.15,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs17765610-G', 'riskFrequency': '0.118', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'BACH2', 'entrezGeneIds': [{'entrezGeneId': '60468'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000112182'}]}]}",2024-02-17T09:49:52.000+0000,2024-02-17T09:49:52.000+0000,5e-08,24671910,,Single variant,"[{'riskAlleleName': 'rs17765610-G', 'riskFrequency': '0.118', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'BACH2', 'entrezGeneIds': [{'entrezGeneId': '60468'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000112182'}]}]",rs17765610-G,0.118,False,False
0.652,,2,-9,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1250550-G', 'riskFrequency': '0.652', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ZMIZ1', 'entrezGeneIds': [{'entrezGeneId': '57178'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108175'}]}]}",2024-02-17T09:49:56.000+0000,2024-02-17T09:49:56.000+0000,2e-09,24671916,,Single variant,"[{'riskAlleleName': 'rs1250550-G', 'riskFrequency': '0.652', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ZMIZ1', 'entrezGeneIds': [{'entrezGeneId': '57178'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108175'}]}]",rs1250550-G,0.652,False,False
0.707,,5,-14,False,False,novel,,,,1.15,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11190133-C', 'riskFrequency': '0.707', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NKX2-3', 'entrezGeneIds': [{'entrezGeneId': '159296'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000119919'}]}]}",2024-02-17T09:49:58.000+0000,2024-02-17T09:49:58.000+0000,5e-14,24671922,,Single variant,"[{'riskAlleleName': 'rs11190133-C', 'riskFrequency': '0.707', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NKX2-3', 'entrezGeneIds': [{'entrezGeneId': '159296'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000119919'}]}]",rs11190133-C,0.707,False,False
0.216,,5,-8,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11065898-T', 'riskFrequency': '0.216', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SH2B3', 'entrezGeneIds': [{'entrezGeneId': '10019'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000111252'}]}]}",2024-02-17T09:50:02.000+0000,2024-02-17T09:50:02.000+0000,5e-08,24671928,,Single variant,"[{'riskAlleleName': 'rs11065898-T', 'riskFrequency': '0.216', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SH2B3', 'entrezGeneIds': [{'entrezGeneId': '10019'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000111252'}]}]",rs11065898-T,0.216,False,False
0.087,,2,-10,False,False,novel,,,,1.2,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11624293-C', 'riskFrequency': '0.087', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GPR65', 'entrezGeneIds': [{'entrezGeneId': '8477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000140030'}]}]}",2024-02-17T09:50:04.000+0000,2024-02-17T09:50:04.000+0000,2e-10,24671934,,Single variant,"[{'riskAlleleName': 'rs11624293-C', 'riskFrequency': '0.087', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GPR65', 'entrezGeneIds': [{'entrezGeneId': '8477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000140030'}]}]",rs11624293-C,0.087,False,False
0.367,,1,-10,False,False,novel,,,,1.12,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2531875-G', 'riskFrequency': '0.367', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]}",2024-02-17T09:50:08.000+0000,2024-02-17T09:50:08.000+0000,1e-10,24671949,,Single variant,"[{'riskAlleleName': 'rs2531875-G', 'riskFrequency': '0.367', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]",rs2531875-G,0.367,False,False
0.796,,3,-10,False,False,novel,,,,1.14,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs35164067-G', 'riskFrequency': '0.796', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]}",2024-02-17T09:50:10.000+0000,2024-02-17T09:50:10.000+0000,3e-10,24671955,,Single variant,"[{'riskAlleleName': 'rs35164067-G', 'riskFrequency': '0.796', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]",rs35164067-G,0.796,False,False
0.39,,6,-9,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7282490-G', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ICOSLG', 'entrezGeneIds': [{'entrezGeneId': '23308'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000160223'}]}]}",2024-02-17T09:50:13.000+0000,2024-02-17T09:50:13.000+0000,6.000000000000001e-09,24671961,,Single variant,"[{'riskAlleleName': 'rs7282490-G', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ICOSLG', 'entrezGeneIds': [{'entrezGeneId': '23308'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000160223'}]}]",rs7282490-G,0.39,False,False
0.453,,4,-7,False,False,novel,,,,1.09,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12758027-C', 'riskFrequency': '0.453', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'HHAT', 'entrezGeneIds': [{'entrezGeneId': '55733'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000054392'}]}]}",2024-02-17T09:50:15.000+0000,2024-02-17T09:50:15.000+0000,4e-07,24671968,,Single variant,"[{'riskAlleleName': 'rs12758027-C', 'riskFrequency': '0.453', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'HHAT', 'entrezGeneIds': [{'entrezGeneId': '55733'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000054392'}]}]",rs12758027-C,0.453,False,False
0.393,(EA),1,-7,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'imm_16_28525386-A', 'riskFrequency': '0.393', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL27', 'entrezGeneIds': [{'entrezGeneId': '246778'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000197272'}]}, {'geneName': 'SULT1A1', 'entrezGeneIds': [{'entrezGeneId': '6817'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000196502'}]}]}",2024-02-17T10:04:16.000+0000,2024-02-17T10:04:16.000+0000,1e-07,24913794,,Single variant,"[{'riskAlleleName': 'imm_16_28525386-A', 'riskFrequency': '0.393', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL27', 'entrezGeneIds': [{'entrezGeneId': '246778'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000197272'}]}, {'geneName': 'SULT1A1', 'entrezGeneIds': [{'entrezGeneId': '6817'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000196502'}]}]",imm_16_28525386-A,0.393,False,False
0.421,(EA),2,-7,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12615545-C', 'riskFrequency': '0.421', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'UBE2E3', 'entrezGeneIds': [{'entrezGeneId': '10477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000170035'}]}]}",2024-02-17T10:04:00.000+0000,2024-02-17T10:04:00.000+0000,2e-07,24913752,,Single variant,"[{'riskAlleleName': 'rs12615545-C', 'riskFrequency': '0.421', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'UBE2E3', 'entrezGeneIds': [{'entrezGeneId': '10477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000170035'}]}]",rs12615545-C,0.421,False,False
0.209,(EA),2,-7,False,False,novel,,,,1.13,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4676410-T', 'riskFrequency': '0.209', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]}",2024-02-17T10:04:03.000+0000,2024-02-17T10:04:03.000+0000,2e-07,24913758,,Single variant,"[{'riskAlleleName': 'rs4676410-T', 'riskFrequency': '0.209', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]",rs4676410-T,0.209,False,False
0.118,(EA),3,-8,False,False,novel,,,,1.17,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs17765610-G', 'riskFrequency': '0.118', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'BACH2', 'entrezGeneIds': [{'entrezGeneId': '60468'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000112182'}]}]}",2024-02-17T10:04:06.000+0000,2024-02-17T10:04:06.000+0000,3.0000000000000004e-08,24913764,,Single variant,"[{'riskAlleleName': 'rs17765610-G', 'riskFrequency': '0.118', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'BACH2', 'entrezGeneIds': [{'entrezGeneId': '60468'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000112182'}]}]",rs17765610-G,0.118,False,False
0.652,(EA),6,-7,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1250550-G', 'riskFrequency': '0.652', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ZMIZ1', 'entrezGeneIds': [{'entrezGeneId': '57178'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108175'}]}]}",2024-02-17T10:04:10.000+0000,2024-02-17T10:04:10.000+0000,6e-07,24913770,,Single variant,"[{'riskAlleleName': 'rs1250550-G', 'riskFrequency': '0.652', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ZMIZ1', 'entrezGeneIds': [{'entrezGeneId': '57178'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108175'}]}]",rs1250550-G,0.652,False,False
0.707,(EA),2,-14,False,False,novel,,,,1.18,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11190133-C', 'riskFrequency': '0.707', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NKX2-3', 'entrezGeneIds': [{'entrezGeneId': '159296'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000119919'}]}]}",2024-02-17T10:04:12.000+0000,2024-02-17T10:04:12.000+0000,2e-14,24913776,,Single variant,"[{'riskAlleleName': 'rs11190133-C', 'riskFrequency': '0.707', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NKX2-3', 'entrezGeneIds': [{'entrezGeneId': '159296'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000119919'}]}]",rs11190133-C,0.707,False,False
0.216,(EA),2,-7,False,False,novel,,,,1.13,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11065898-T', 'riskFrequency': '0.216', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SH2B3', 'entrezGeneIds': [{'entrezGeneId': '10019'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000111252'}]}]}",2024-02-17T10:04:14.000+0000,2024-02-17T10:04:14.000+0000,2e-07,24913782,,Single variant,"[{'riskAlleleName': 'rs11065898-T', 'riskFrequency': '0.216', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SH2B3', 'entrezGeneIds': [{'entrezGeneId': '10019'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000111252'}]}]",rs11065898-T,0.216,False,False
0.087,(EA),2,-10,False,False,novel,,,,1.23,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11624293-C', 'riskFrequency': '0.087', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GPR65', 'entrezGeneIds': [{'entrezGeneId': '8477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000140030'}]}]}",2024-02-17T10:04:15.000+0000,2024-02-17T10:04:15.000+0000,2e-10,24913788,,Single variant,"[{'riskAlleleName': 'rs11624293-C', 'riskFrequency': '0.087', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GPR65', 'entrezGeneIds': [{'entrezGeneId': '8477'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000140030'}]}]",rs11624293-C,0.087,False,False
0.367,(EA),1,-8,False,False,novel,,,,1.12,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2531875-G', 'riskFrequency': '0.367', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]}",2024-02-17T10:04:18.000+0000,2024-02-17T10:04:18.000+0000,1e-08,24913802,,Single variant,"[{'riskAlleleName': 'rs2531875-G', 'riskFrequency': '0.367', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]",rs2531875-G,0.367,False,False
0.796,(EA),7,-9,False,False,novel,,,,1.16,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs35164067-G', 'riskFrequency': '0.796', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]}",2024-02-17T10:04:20.000+0000,2024-02-17T10:04:20.000+0000,7.000000000000001e-09,24913808,,Single variant,"[{'riskAlleleName': 'rs35164067-G', 'riskFrequency': '0.796', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]",rs35164067-G,0.796,False,False
0.39,(EA),1,-6,False,False,novel,,,,1.1,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7282490-G', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ICOSLG', 'entrezGeneIds': [{'entrezGeneId': '23308'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000160223'}]}]}",2024-02-17T10:04:23.000+0000,2024-02-17T10:04:23.000+0000,1e-06,24913814,,Single variant,"[{'riskAlleleName': 'rs7282490-G', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ICOSLG', 'entrezGeneIds': [{'entrezGeneId': '23308'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000160223'}]}]",rs7282490-G,0.39,False,False
